legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isBasicEconomy,isRefundable,isNonStop,totalFare,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
9db8d6cc3b588d4a4c55cf130340b17e,2022-04-16,2022-04-18,ATL,ORD,PT12H21M,False,False,False,983.15,586.0,1650284940||1650297480||1650302340||1650324120,2022-04-18T08:29:00.000-04:00||2022-04-18T10:58:00.000-05:00||2022-04-18T12:19:00.000-05:00||2022-04-18T18:22:00.000-05:00,1650288900||1650301140||1650306960||1650329400,2022-04-18T08:35:00.000-05:00||2022-04-18T11:59:00.000-05:00||2022-04-18T13:36:00.000-05:00||2022-04-18T19:50:00.000-05:00,BNA||OWB||STL||ORD,ATL||BNA||OWB||STL,Delta||Cape Air||Cape Air||United,DL||9K||9K||UA,Boeing 737-800||Tecnam P2012 Traveler||Tecnam P2012 Traveler||Embraer 175 (Enhanced Winglets),3960||3660||4620||5280,215||116||187||255,coach||coach||coach||coach
87d8bb273483dbbe82bea6986f6274c6,2022-04-16,2022-04-18,ATL,PHL,PT2H2M,False,False,True,95.99,701.0,1650309000,2022-04-18T15:10:00.000-04:00,1650316320,2022-04-18T17:12:00.000-04:00,TTN,ATL,Frontier Airlines,F9,,7320,701,coach
bebbdb395016be0c1a649ae91435617f,2022-04-16,2022-04-18,ATL,PHL,PT12H,False,False,False,159.99,1296.0,1650334020||1650368100,2022-04-18T22:07:00.000-04:00||2022-04-19T07:35:00.000-04:00,1650340080||1650377220,2022-04-18T23:48:00.000-04:00||2022-04-19T10:07:00.000-04:00,MCO||TTN,ATL||MCO,Frontier Airlines||Frontier Airlines,F9||F9,||Airbus A320,6060||9120,399||897,coach||coach
511e128c1e60121a04dd9a4e474fea50,2022-04-16,2022-04-18,ATL,PHL,PT1H56M,False,False,True,190.59,,1650315600,2022-04-18T17:00:00.000-04:00,1650322560,2022-04-18T18:56:00.000-04:00,PHL,ATL,Spirit Airlines,NK,AIRBUS INDUSTRIE A320 SHARKLETS,6960,None,coach
4a541d773dbb0931bb042f0fe0163b2d,2022-04-16,2022-04-18,ATL,PHL,PT5H58M,False,False,False,198.58,,1650323700||1650335520,2022-04-18T19:15:00.000-04:00||2022-04-18T22:32:00.000-04:00,1650330480||1650345180,2022-04-18T21:08:00.000-04:00||2022-04-19T01:13:00.000-04:00,FLL||PHL,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||,6780||9660,None||None,coach||coach
eb06b5b4ad43e9587fd06b7b78831cd1,2022-04-16,2022-04-18,ATL,PHL,PT5H41M,False,False,False,211.6,1272.0,1650319200||1650332100,2022-04-18T18:00:00.000-04:00||2022-04-18T20:35:00.000-05:00,1650327060||1650339660,2022-04-18T19:11:00.000-05:00||2022-04-18T23:41:00.000-04:00,ORD||PHL,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,7860||7560,600||672,coach||coach
032375188f2b17bb316739bb588e1ed5,2022-04-16,2022-04-18,ATL,PHL,PT6H29M,False,False,False,211.6,2023.0,1650314220||1650326100,2022-04-18T16:37:00.000-04:00||2022-04-18T18:55:00.000-05:00,1650323400||1650337560,2022-04-18T18:10:00.000-05:00||2022-04-18T23:06:00.000-04:00,DFW||PHL,ATL||DFW,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A321,9180||11460,725||1298,coach||coach
e9674ac688fc3259c1d206afd7441228,2022-04-16,2022-04-18,ATL,PHL,PT6H32M,False,False,False,211.6,1272.0,1650318420||1650334200,2022-04-18T17:47:00.000-04:00||2022-04-18T21:10:00.000-05:00,1650325620||1650341940,2022-04-18T18:47:00.000-05:00||2022-04-19T00:19:00.000-04:00,ORD||PHL,ATL||ORD,United||United,UA||UA,Boeing 737-700||Airbus A319,7200||7740,600||672,coach||coach
c1fcf2b5964ce45b36f10ee224ff2067,2022-04-16,2022-04-18,ATL,PHL,PT11H19M,False,False,False,241.58,,1650304440||1650335520,2022-04-18T13:54:00.000-04:00||2022-04-18T22:32:00.000-04:00,1650311100||1650345180,2022-04-18T15:45:00.000-04:00||2022-04-19T01:13:00.000-04:00,FLL||PHL,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,||,6660||9660,None||None,coach||coach
9a71f6ea37c1ec88a482e085e0ff6d44,2022-04-16,2022-04-18,ATL,PHL,PT3H39M,False,False,False,286.1,677.0,1650320100||1650327360,2022-04-18T18:15:00.000-04:00||2022-04-18T20:16:00.000-04:00,1650325020||1650333240,2022-04-18T19:37:00.000-04:00||2022-04-18T21:54:00.000-04:00,CLT||PHL,ATL||CLT,American Airlines||American Airlines,AA||AA,Canadair Regional Jet 900||Airbus A320,4920||5880,228||449,coach||coach
a41354540ccb0766f569ec376db72284,2022-04-16,2022-04-18,ATL,PHL,PT4H59M,False,False,False,286.1,677.0,1650284400||1650295800,2022-04-18T08:20:00.000-04:00||2022-04-18T11:30:00.000-04:00,1650289800||1650302340,2022-04-18T09:50:00.000-04:00||2022-04-18T13:19:00.000-04:00,CLT||PHL,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A320,5400||6540,228||449,coach||coach
0b613a631d443dfae006b18b8c94159b,2022-04-16,2022-04-18,ATL,PHL,PT6H19M,False,False,False,286.1,677.0,1650279600||1650295800,2022-04-18T07:00:00.000-04:00||2022-04-18T11:30:00.000-04:00,1650284460||1650302340,2022-04-18T08:21:00.000-04:00||2022-04-18T13:19:00.000-04:00,CLT||PHL,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A320,4860||6540,228||449,coach||coach
ea42988ef051e45474bd05e068f914e2,2022-04-16,2022-04-18,ATL,PHL,PT5H17M,False,False,False,287.6,1272.0,1650307140||1650318900,2022-04-18T14:39:00.000-04:00||2022-04-18T16:55:00.000-05:00,1650315240||1650326160,2022-04-18T15:54:00.000-05:00||2022-04-18T19:56:00.000-04:00,ORD||PHL,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,8100||7260,600||672,coach||coach
0d0b10c47dc3e2aa346f4ab7fc2c20f1,2022-04-16,2022-04-18,ATL,PHL,PT9H21M,False,False,False,301.58,,1650281400||1650305520,2022-04-18T07:30:00.000-04:00||2022-04-18T14:12:00.000-04:00,1650288240||1650315060,2022-04-18T09:24:00.000-04:00||2022-04-18T16:51:00.000-04:00,FLL||PHL,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||,6840||9540,None||None,coach||coach
66628b88720db64f1c1202891cca0cc8,2022-04-16,2022-04-18,ATL,PHL,PT11H25M,False,False,False,301.58,,1650273960||1650305520,2022-04-18T05:26:00.000-04:00||2022-04-18T14:12:00.000-04:00,1650280800||1650315060,2022-04-18T07:20:00.000-04:00||2022-04-18T16:51:00.000-04:00,FLL||PHL,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||,6840||9540,None||None,coach||coach
d65655e5cdc4e7fa44b0d55daa545dd2,2022-04-16,2022-04-18,ATL,PHL,PT2H4M,False,False,True,342.6,667.0,1650309480,2022-04-18T15:18:00.000-04:00,1650316920,2022-04-18T17:22:00.000-04:00,PHL,ATL,American Airlines,AA,Embraer 175,7440,667,coach
22eb013ced46c9c4e29e223aa7ee12ca,2022-04-16,2022-04-18,ATL,PHL,PT2H5M,False,False,True,342.6,667.0,1650297900,2022-04-18T12:05:00.000-04:00,1650305400,2022-04-18T14:10:00.000-04:00,PHL,ATL,American Airlines,AA,Embraer 175,7500,667,coach
